Name,	Mat,	ConsCyc,Finan,	RE,	ConsDef,Health,	Util,	Comm,	Ener,	Indus,	Tech,	TBond,	Curr, Leverage
RXL,	0.0,	0.0,	0.0,	0.0,	0.0,	100.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	2.0
SAA,	5.67,	14.07,	15.77,	9.17,	3.34,	11.64,	1.64,	2.8,	3.08,	17.82,	15.,	0.0,	0.0,	2.0
SOXL,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	100.0,	0.0,	0.0,	3.0
SSO,	2.34,	11.08,	13.45,	2.53,	7.28,	13.78,	2.89,	11.04,	2.3,	9.14,	24.18,	0.0,	0.0,	2.0
UPRO,	2.34,	11.08,	13.45,	2.53,	7.28,	13.78,	2.89,	11.04,	2.3,	9.14,	24.18,	0.0,	0.0,	3.0
TECL,	0.0,	0.0,	10.58,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	1.9,	87.52,	0.0,	0.0,	3.0
TNA,	3.82,	12.03,	14.52,	7.52,	3.9,	21.16,	3.29,	2.41,	1.79,	15.58,	13.97,	0.0,	0.0,	3.0
UBR,	19.75,	11.26,	26.86,	0.45,	9.15,	4.47,	5.84,	2.08,	10.69,	9.13,	0.32,	0.0,	0.0,	2.0
UCC,	0.0,	51.69,	0.0,	0.0,	16.65,	1.65,	0.0,	23.29,	0.0,	4.42,	2.31,	0.0,	0.0,	2.0
UCO,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	100.,	0.0,	0.0,	0.0,	0.0,	2.0
UGE,	0.0,	33.2,	0.16,	0.0,	60.82,	0.0,	0.0,	4.66,	0.0,	1.16,	0.0,	0.0,	0.0,	2.0
UJB,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	3.63,	96.37,	0.0,	0.0,	0.0,	0.0,	2.0
ULE,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	100.0,	2.0
UMDD,	4.62,	14.44,	14.79,	9.05,	4.62,	10.99,	3.12,	2.00,	1.63,	18.16,	16.59,	0.0,	0.1,	3.0
UPV,	7.41,	10.38,	15.87,	2.64,	12.23,	14.42,	4.58,	5.33,	4.27,	15.27,	7.62,	0.0,	0.0,	2.0
UPW,	0.52,	0.0,	0.0,	0.0,	0.0,	0.0,	99.1,	0.0,	0.39,	0.0,	0.0,	0.0,	0.0,	2.0
URE,	0.0,	0.0,	0.0,	100.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	2.0
URTY,	3.75,	12.42,	13.96,	7.62,	3.76,	20.51,	3.05,	2.64,	1.99,	16.01,	14.3,	0.0,	0.0,	3.0
UWM,	3.75,	12.42,	13.96,	7.62,	3.76,	20.51,	3.05,	2.64,	1.99,	16.01,	14.3,	0.0,	0.0,	2.0
USD,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	100.0,	0.0,	0.0,	2.0
UXI,	2.44,	3.68,	6.16,	0.0,	0.0,	0.35,	0.0,	0.18,	0.0,	69.3,	17.89,	0.0,	0.0,	2.0
UYG,	0.0,	0.0,	78.92,	21.08,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	2.0
UYM,	99.3,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.7,	0.0,	0.0,	0.0,	0.0,	2.0
VAW,	83.49,	13.67,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.42,	2.42,	0.0,	0.0,	0.0,	1.0
VBK,	2.14,	11.14,	3.41,	7.55,	3.29,	22.86,	0.37,	4.23,	1.09,	11.80,	32.11,	0.0,	0.0,	1.0
VBR,	5.99,	14.07,	20.09,	9.82,	4.89,	8.56,	4.96,	1.39,	2.88,	18.54,	8.8,	0.0,	0.0,	1.0
VCR,	0.0,	93.18,	0.0,	0.0,	5.19,	0.04,	0.0,	0.32,	0.0,	0.52,	0.74,	0.0,	0.0,	1.0
WANT,	0.0,	94.38,	0.0,	0.0,	5.11,	0.0,	0.0,	0.0,	0.0,	0.0,	0.52,	0.0,	0.0,	1.0
VDC,	0.26,	0.31,	0.0,	0.0,	97.75,	1.51,	0.0,	0.0,	0.0,	0.16,	0.0,	0.0,	0.0,	1.0
VDE,	0.08,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	99.82,	0.07,	0.0,	0.0,	0.0,	1.0
VEMPX,	2.78,	16.56,	11.22,	7.59,	3.0,	14.74,	1.84,	7.36,	1.46,	10.8,	22.65,	0.01,	0.0,	1.0
VEXAX,	2.78,	16.56,	11.22,	7.59,	3.0,	14.74,	1.84,	7.36,	1.46,	10.8,	22.65,	0.01,	0.0,	1.0
